,Lutra lutra,Phalacrocorax carbo,Ardea cinerea,Cygnus olor,Tadorna tadorna,Anas penelope,Somateria mollissima,Somateria mollissima,Haematopus ostralegus,Charadris hiaticula,Pluvialis apricaria,Pluvialis squatarola,Vanellus vanellus,Calidris alpina,Limos lapponica,Numenius arquata,Tringa totanus,Arenaria interpres,Larus canus,Larus ridibundus,Larus aragentatus,Larus marinus,Sterna Sandvicensis,Sterna hirundo,Sterna paradisea,Corvus frugilegus,Corvus corone,Sprattus sprattus,Clupea harengus,Anguilla anguilla,Sygnathus rostellatus,Pollachus virens,Ciliata mustella,Ammodytes tobianus,Pholis gunnellus,Zoarces viviparus,Pomatoschistus minutus,Pomatoschistus microps,Myxocephalus scorpius,Agonus cataphractus,Gasterosteus aculeatus,Pleuronectes platessa,Platichthys flesus,Platichthys flesus,Salmo trutta,Crangon crangon,Hyale nilssoni,Carcinus maenas,Hydrobia ulvae,na,na,na,Semibalanus balanoides,Neomysis integer,Mya arenaria,Talitrus saltator,Corophium volutator,Bathyporeia pilosa,Gammarus spp.,Idotea emarginata,Jaera marina,Eurydice pulchra,Nototropis spp.,Nematodes,Diatoms,Nereis virens,Nereis diversicolor,Hesionidae,Parathemisto spp.,Phyllodoce,Eteone,Pygospio elegans,Capitallidae,Manayunkia aestuarina,Orbinia,Arenicola marina,Tubificoides benedeni,Tubifex costatus,Fucus ceranoides,Littorina littorea,Littorina saxatilis,Alderia modesta,Retusa obtusa,Macoma balthica,Mytilus edulis,Cerastoderma edule,Chironomid larvae,Diptera larvae/pupae,Acarina,Foraminifera,Enteromorpha,POM (detritus)
Vanellus vanellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidris alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limos lapponica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numenius arquata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tringa totanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria interpres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus canus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus ridibundus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus aragentatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larus marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
