,Lutra lutra,Phalacrocorax carbo,Ardea cinerea,Cygnus olor,Tadorna tadorna,Anas penelope,Somateria mollissima,Somateria mollissima,Haematopus ostralegus,Charadris hiaticula,Pluvialis apricaria,Pluvialis squatarola,Vanellus vanellus,Calidris alpina,Limos lapponica,Numenius arquata,Tringa totanus,Arenaria interpres,Larus canus,Larus ridibundus,Larus aragentatus,Larus marinus,Sterna Sandvicensis,Sterna hirundo,Sterna paradisea,Corvus frugilegus,Corvus corone,Sprattus sprattus,Clupea harengus,Anguilla anguilla,Sygnathus rostellatus,Pollachus virens,Ciliata mustella,Ammodytes tobianus,Pholis gunnellus,Zoarces viviparus,Pomatoschistus minutus,Pomatoschistus microps,Myxocephalus scorpius,Agonus cataphractus,Gasterosteus aculeatus,Pleuronectes platessa,Platichthys flesus,Platichthys flesus,Salmo trutta,Crangon crangon,Hyale nilssoni,Carcinus maenas,Hydrobia ulvae,na,na,na,Semibalanus balanoides,Neomysis integer,Mya arenaria,Talitrus saltator,Corophium volutator,Bathyporeia pilosa,Gammarus spp.,Idotea emarginata,Jaera marina,Eurydice pulchra,Nototropis spp.,Nematodes,Diatoms,Nereis virens,Nereis diversicolor,Hesionidae,Parathemisto spp.,Phyllodoce,Eteone,Pygospio elegans,Capitallidae,Manayunkia aestuarina,Orbinia,Arenicola marina,Tubificoides benedeni,Tubifex costatus,Fucus ceranoides,Littorina littorea,Littorina saxatilis,Alderia modesta,Retusa obtusa,Macoma balthica,Mytilus edulis,Cerastoderma edule,Chironomid larvae,Diptera larvae/pupae,Acarina,Foraminifera,Enteromorpha,POM (detritus)
Sterna Sandvicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna hirundo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterna paradisea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus frugilegus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvus corone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprattus sprattus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla anguilla,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sygnathus rostellatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollachus virens,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
