Network;Species;Group;Kingdom;Phylum;Class;Order;Family;Genus;BodyWeight;FeedingMode;MetabolicCategory;TrophicLevel;FeedingType;Mobility;Environment;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;Vulnerability;Generality
loughhyne;Melita_93817;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Melita;1.35E-02;"grazer";"invertebrate";2;"herbivorous/detrivorous";3;"benthic";0;1455;0;47;14;2;0;0;79;101;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1
loughhyne;Maja_199961;I;Animalia;Arthropoda;Malacostraca;Decapoda;Majidae;Maja;2.72E+00;"predator/scavenger";"invertebrate";2.78;"omnivorous";2;"benthic";2845;413;184;17;307;2;0;0;1595;12;156;161;3;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;78
loughhyne;Littorina_70405;I;Animalia;Mollusca;Gastropoda;Neotaenioglossa;Littorinidae;Littorina;5.07E-02;"grazer";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";3;1006;0;47;42;0;0;0;189;79;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3
loughhyne;POM_error;B;Other;Other;Other;Other;Other;Other;0.00000000000001;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"pelagic";0;266;0;1746;0;2;0;0;0;7345;0;0;157;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0
loughhyne;Stenothoe_206571;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Stenothoidae;Stenothoe;1.44E-03;"grazer";"invertebrate";2;"herbivorous/detrivorous";3;"benthic";0;1456;0;47;15;2;0;0;122;101;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1
loughhyne;Ophiothrix_157804;I;Animalia;Echinodermata;Ophiuroidea;Ophiurida;Ophiothricidae;Ophiothrix;7.76E-01;"grazer";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";10;1530;0;99;145;7;0;0;69;296;0;0;109;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;5
loughhyne;Parablennius_636467;I;Animalia;Chordata;Actinopterygii;Perciformes;Blenniidae;Parablennius;514.79;"predator";"ectotherm vertebrate";2.64;"omnivorous";4;"demersal";2367;66;137;0;70;0;0;0;1616;0;47;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;70
loughhyne;Necora_error;I;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Necora;8.06E-02;"predator/scavenger";"invertebrate";3.52;"omnivorous";2;"benthic";20;529;162;22;44;0;15;2;88;39;1;26;6;5;0;0;11;5;2;0;0;0;0;0;0;5;0;0;0;0;11;8
loughhyne;Myxilla_48089;I;Animalia;Porifera;Demospongiae;Poecilosclerida;Myxillidae;Myxilla;2.74E+01;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;386;0;93;30;0;0;0;217;43;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3
loughhyne;Zeus_166287;I;Animalia;Chordata;Actinopterygii;Zeiformes;Zeidae;Zeus;58.52;"predator";"ectotherm vertebrate";3.99;"omnivorous";4;"benthopelagic";43;59;281;0;4;0;0;0;218;0;11;7;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;11
