Network;Species;Group;Kingdom;Phylum;Class;Order;Family;Genus;BodyWeight;FeedingMode;MetabolicCategory;TrophicLevel;FeedingType;Mobility;Environment;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;Vulnerability;Generality
kongsfjorden;Turnerella pennyi;B;Plantae;Rhodophyta;Rhodophyceae;Gigartinales;Solieriaceae;Turnerella;0.28;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;314;0;36;0;0;0;0;0;102;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
kongsfjorden;Fimbrifolium dichotomum;B;Plantae;Rhodophyta;Florideophyceae;Gigartinales;Cystocloniaceae;Fimbrifolium;0.28;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;314;0;36;0;0;0;0;0;102;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
kongsfjorden;Boremysis arctica;I;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Boreomysis;0.03;"predator";"invertebrate";2;"herbivorous";4;"pelagic";0;95;0;8;3;1;0;0;168;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
kongsfjorden;Liparis fabricii;I;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Liparidae;Liparis;50;"predator";"ectotherm vertebrate";3.61;"omnivorous";4;"benthic";3;150;39;1;5;1;0;0;25;1;0;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3
kongsfjorden;Tonicella marmorea;I;Animalia;Mollusca;Polyplacophora;Neoloricata;Ischnochitonidae;Tonicella;0.22;"grazer";"invertebrate";2;"omnivorous";2;"benthic";171;52;0;3;14;0;0;0;534;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19
kongsfjorden;Diastylis goodsiri;I;Animalia;Arthropoda;Malacostraca;Cumacea;Diastylidae;Diastylis;0.01;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;107;0;8;2;1;0;0;266;6;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2
kongsfjorden;Hiatella arctica;I;Animalia;Mollusca;Bivalvia;Myoida;Hiatellidae;Hiatella;0.05;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;27;0;6;2;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Pholoe assimilis;I;Animalia;Annelida;Polychaeta;Aciculata;Pholoidae;Pholoe;0.01;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;209;0;24;8;0;0;0;268;16;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2
kongsfjorden;Pandalus borealis;I;Animalia;Arthropoda;Malacostraca;Decapoda;Pandalidae;Pandalus;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;244;30;15;98;2;0;0;244;50;14;0;39;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7
kongsfjorden;Sterna paradisaea;T;Animalia;Chordata;Aves;Ciconiiformes;Laridae;Sterna;40.8;"predator";"endotherm vertebrate";3.8;"carnivorous";4;"land-based/pelagic";15;0;108;0;0;0;0;0;74;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;8
kongsfjorden;Pseudocalanus;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus;0.09;"predator";"invertebrate";2;"omnivorous";4;"pelagic";0;111;0;51;2;3;0;0;163;14;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1
kongsfjorden;Semibalanus balanoides;I;Animalia;Arthropoda;Maxillopoda;Sessilia;Archaeobalanidae;Semibalanus;0.03;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;41;0;6;4;0;0;0;330;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
kongsfjorden;Microcalanus pusillus;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Microcalanus;6.96E-005;"predator";"invertebrate";2;"omnivorous";4;"pelagic";36;75;0;39;42;3;0;0;256;8;0;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9
kongsfjorden;Musculus discors;I;Animalia;Mollusca;Bivalvia;Mytiloida;Mytilidae;Musculus;0.42;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;34;0;7;4;0;0;0;226;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
kongsfjorden;Scoletoma fragilis;I;Animalia;Annelida;Polychaeta;Aciculata;Lumbrineridae;Lumbrineris;0.03;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Trophon clathratus;T;Animalia;Mollusca;Gastropoda;Neogastropoda;Muricidae;Trophon;0.07;"grazer";"invertebrate";2;"detrivorous";2;"benthic";153;0;0;0;0;0;0;0;371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
kongsfjorden;Cossura longocirrata;I;Animalia;Annelida;Polychaeta;Cossuridae;Cossura;NA;0.05;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Desmarestia aculeata;B;Plantae;Phaeophyta;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;0.02;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;314;0;36;0;0;0;0;0;102;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
kongsfjorden;Somateria mollissima;T;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria;1110;"predator";"endotherm vertebrate";2;"carnivorous";4;"land-based/pelagic";171;0;0;0;0;0;0;0;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
kongsfjorden;Eryhtrops erythropthalma;I;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Erythrops;0.01;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;77;0;2;2;1;0;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Astarte borealis;I;Animalia;Mollusca;Bivalvia;Veneroida;Astartidae;Astarte;0.15;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;27;0;6;2;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Crossaster papposus;I;Animalia;Echinodermata;Asteroidea;Spinulosida;Solasteridae;Crossaster;0.4;"predator";"invertebrate";3.03;"omnivorous";2;"benthic";1498;40;138;13;129;0;0;0;345;2;155;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;59
kongsfjorden;Myoxocephalus scorpius;I;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Cottidae;Myoxocephalus;58.5;"predator";"ectotherm vertebrate";3.84;"carnivorous";4;"benthic";214;88;266;0;32;1;0;0;85;1;39;37;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;23
kongsfjorden;Calanus hyperboreus;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus;0.01;"predator";"invertebrate";2.33;"omnivorous";4;"pelagic";1;76;0;59;6;3;0;0;216;14;2;15;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3
kongsfjorden;Parapleustes assimilis;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Pleustidae;Parapleustes;0.01;"predator/scavenger";"invertebrate";2.5;"omnivorous";3;"benthic";20;73;0;2;4;1;0;0;330;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8
kongsfjorden;Bylgides elegans;I;Animalia;Annelida;Polychaeta;Aciculata;Polynoidae;Bylgides;NULL;"predator/scavenger";"invertebrate";2;"omnivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Margarites helicinus;I;Animalia;Mollusca;Gastropoda;Archaeogastropoda;Trochidae;Margarites;0.02;"predator";"invertebrate";2;"omnivorous";2;"benthic";3;30;0;1;3;0;0;0;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
kongsfjorden;Raja clavata;I;Animalia;Chordata;Chondrichthyes;Rajiformes;Rajidae;Raja;2010;"predator";"ectotherm vertebrate";2.65;"carnivorous";4;"benthic";585;119;93;0;99;1;0;0;404;1;10;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;35
kongsfjorden;Nephtys ciliata;I;Animalia;Annelida;Polychaeta;Aciculata;Nephtyidae;Nephtys;0.05;"predator";"invertebrate";2;"omnivorous";2;"benthic";0;293;0;29;8;1;0;0;165;42;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1
kongsfjorden;Chone;I;Animalia;Annelida;Polychaeta;Canalipalpata;Sabellidae;Chone;0.02;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Mallotus villosus;I;Animalia;Chordata;Actinopterygii;Osmeriformes;Osmeridae;Mallotus;14.8;"predator";"ectotherm vertebrate";3.62;"omnivorous";4;"benthic";54;129;72;2;31;1;0;0;67;1;1;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11
kongsfjorden;Lycodes;I;Animalia;Chordata;Actinopterygii;Perciformes;Zoarcidae;Lycodes;2750;"predator";"ectotherm vertebrate";3.12;"carnivorous";4;"benthic";165;136;84;0;75;0;0;0;24;2;6;20;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;19
kongsfjorden;Globigerinita bradyi;B;Protozoa;Protozoa;Granuloreticulosea;Foraminiferida;Globigerinidae;Globigerinita;1.77E-010;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"pelagic";0;140;0;52;0;1;0;0;0;12;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
kongsfjorden;Hormathia nodosa;I;Animalia;Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Hormathia;0.64;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;130;0;31;8;0;0;0;310;40;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;3
kongsfjorden;Phaeocystis pouchetii;B;Plantae;Haptophyta;Prymnesiophyceae;Prymnesiales;Phaeocystaceae;Phaeocystis;4.06E-011;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"pelagic";0;147;0;57;0;1;0;0;0;17;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
kongsfjorden;Spirontocaris turgida;I;Animalia;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Spirontocaris;0.01;"predator/scavenger";"invertebrate";2;"omnivorous";3;"benthic";0;105;0;8;3;1;0;0;106;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
kongsfjorden;Onacea borealis;I;Animalia;Arthropoda;Maxillopoda;Poecilostomatoida;Oncaeidae;Onacea;0.01;"predator";"invertebrate";2;"omnivorous";4;"pelagic";231;58;0;40;127;3;0;0;306;8;0;27;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;22
kongsfjorden;Orchomenella minuta;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Lysianassidae;Orchomenella;NULL;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;77;0;2;2;1;0;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Saccorhiza dermatodea;B;Plantae;Phaeophyta;Phaeophyceae;Laminariales;Laminariaceae;Saccorhiza;0.02;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;317;0;37;0;0;0;0;0;117;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0
kongsfjorden;Anisarchus medius;I;Animalia;Chordata;Actinopterygii;Perciformes;Stichaeidae;Anisarchus;40;"predator";"ectotherm vertebrate";3.88;"omnivorous";4;"benthic";191;112;353;0;61;0;0;0;13;2;19;44;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22
kongsfjorden;Leptagonus decagonus;I;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Agonidae;Leptagonus;43.5;"predator";"ectotherm vertebrate";3.19;"omnivorous";4;"benthic";74;167;41;0;74;0;0;0;101;2;4;4;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;13
kongsfjorden;Alaria esculenta;B;Plantae;Phaeophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;0.28;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;314;0;36;0;0;0;0;0;102;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
kongsfjorden;Desmarestia viridis;B;Plantae;Phaeophyta;Phaeophyceae;Desmarestiales;Desmarestiaceae;Desmarestia;1.01;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;314;0;36;0;0;0;0;0;102;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
kongsfjorden;Euchone;I;Animalia;Annelida;Polychaeta;Canalipalpata;Sabellidae;Euchone;0.02;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Cylichna cf. oculata;I;Animalia;Mollusca;Gastropoda;Cephalaspidea;Cylichnidae;Acteocina;0.01;"predator";"invertebrate";2;"omnivorous";2;"benthic";0;55;0;5;1;0;0;0;167;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
kongsfjorden;Thelepus cincinnatus;I;Animalia;Annelida;Polychaeta;Canalipalpata;Terebellidae;Thelepus;0.05;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;115;0;14;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Thysanoessa inermis;I;Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Thysanoessa;0.06;"grazer";"invertebrate";2;"herbivorous";4;"epipelagic/ice associated";0;170;0;38;13;1;0;0;168;56;0;0;19;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1
kongsfjorden;Leitoscoloplos mammosus;I;Animalia;Annelida;Polychaeta;Orbiniidae;Leitoscoloplos;NA;0.02;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;275;0;27;11;0;0;0;267;28;0;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2
kongsfjorden;Corophium crassicorne;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Corophiidae;Corophium;NULL;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;77;0;2;2;1;0;0;274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Capitella capitata;I;Animalia;Annelida;Polychaeta;Capitellidae;Capitella;NA;NULL;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Cylichna cf. alba;I;Animalia;Mollusca;Gastropoda;Cephalaspidea;Cylichnidae;Cylichna;0.01;"predator";"invertebrate";2;"omnivorous";2;"benthic";0;30;0;1;1;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
kongsfjorden;Xanthocalanus;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Phaennidae;Xanthocalanus;2.51E-005;"predator";"invertebrate";2;"omnivorous";4;"pelagic";0;51;0;23;1;3;0;0;167;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
kongsfjorden;Gammarellus homari;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammarellidae;Gammarellus;0.01;"predator";"invertebrate";2;"omnivorous";3;"benthic";0;77;0;2;1;1;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
kongsfjorden;Hipoglossoides platessoides;I;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Hippoglossoides;6400;"predator";"ectotherm vertebrate";3.12;"carnivorous";4;"benthic";578;134;97;0;137;0;0;0;135;1;17;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;35
kongsfjorden;Pusa hispida;I;Animalia;Chordata;Mammalia;Carnivora;Phocidae;Pusa;40000;"predator";"endotherm vertebrate";3.76;"carnivorous";4;"land-based/pelagic";53;4;118;0;13;0;0;0;115;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;13
kongsfjorden;Lumpenus lampretaeformis;I;Animalia;Chordata;Actinopterygii;Perciformes;Stichaeidae;Lumpenus;58.3;"predator";"ectotherm vertebrate";3.04;"omnivorous";4;"benthic";376;163;71;0;160;0;0;0;30;2;2;8;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;28
kongsfjorden;Ischyrocerus anguipes;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Ischyroceridae;Ischyrocerus;NULL;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;111;0;8;4;1;0;0;270;1;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2
kongsfjorden;Frigidoalvania cruenta;I;Animalia;Mollusca;Gastropoda;Neotaenioglossa;Rissoidae;Frigidoalvania;0.05;"predator";"invertebrate";2;"omnivorous";2;"benthic";1;54;0;5;2;0;0;0;272;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
kongsfjorden;Prionospio cirrifera;I;Animalia;Annelida;Polychaeta;Canalipalpata;Spionidae;Minuspio;0.01;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;131;0;13;4;0;0;0;272;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Phyllodoce;I;Animalia;Annelida;Polychaeta;Aciculata;Phyllodocidae;Phyllodoce;0.03;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;216;0;35;8;0;0;0;260;29;0;14;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2
kongsfjorden;Gadus morhua;I;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Gadus;96000;"predator";"ectotherm vertebrate";3.55;"carnivorous";4;"benthic";2853;4;470;0;112;0;3;66;56;1;147;44;0;12;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;4;80
kongsfjorden;Reinhardtius hipoglossoides;I;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Reinhardtius;7000;"predator";"ectotherm vertebrate";3.74;"carnivorous";4;"benthopelagic";36;115;101;4;59;0;15;5;47;50;0;40;4;13;1;0;4;0;0;0;0;0;0;0;0;22;0;0;0;1;13;11
kongsfjorden;Menestho albula;I;Animalia;Mollusca;Gastropoda;Heterostropha;Pyramidellidae;Menestho;0.02;"predator";"invertebrate";2;"omnivorous";2;"benthic";3;30;0;1;3;0;0;0;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
kongsfjorden;Metridia longa;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Metridinidae;Metridia;NULL;"predator";"invertebrate";2.6;"omnivorous";4;"pelagic";6;67;40;51;13;3;0;0;217;12;4;22;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5
kongsfjorden;Dinobryon balticum;B;Plantae;Chrysophyta;Chrysophyceae;Ochromonadales;Dinobryaceae;Dinobryon;5.73E-012;"primaryproducer";"primaryproducer";1;"primaryproducer";2;"pelagic";0;140;0;52;0;1;0;0;0;12;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
kongsfjorden;Copepoda nauplii;I;Animalia;Arthropoda;Maxillopoda;NA;NA;NA;7.14E-006;"predator";"invertebrate";2;"herbivorous";4;"pelagic";0;116;0;53;5;3;0;0;55;19;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1
kongsfjorden;Pleusymtes glabroides;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Pleustidae;Pleusymtes;0.01;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;105;0;8;6;1;0;0;274;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
kongsfjorden;Munna;I;Animalia;Arthropoda;Malacostraca;Isopoda;Munnidae;Munna;NULL;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;89;0;4;2;1;0;0;272;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
kongsfjorden;Sclerocrangon boreas;I;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Sclerocrangon;0.02;"predator/scavenger";"invertebrate";2;"omnivorous";3;"benthopelagic";210;117;0;20;147;2;0;0;165;10;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;21
kongsfjorden;Styela rustica;I;Animalia;Chordata;Ascidiacea;Pleurogona;Styelidae;Styela;0.61;"suspension-feeder";"invertebrate";2;"detrivorous";1;"benthic";3;41;0;14;1;0;0;0;324;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
kongsfjorden;Paroediceros lynceus;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Paroediceros;0.02;"predator/scavenger";"invertebrate";2.75;"omnivorous";3;"benthic";94;91;15;8;34;1;0;0;319;1;26;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;16
kongsfjorden;Halicryptus spinulosus;I;Animalia;Priapula;Priapulidae;Halicryptus;NA;NA;0.04;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";3;67;0;5;3;0;0;0;326;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
kongsfjorden;Lepeta caeca;I;Animalia;Mollusca;Gastropoda;Patellogastropoda;Lepetidae;Lepeta;0.02;"predator";"invertebrate";2;"omnivorous";2;"benthic";0;30;0;1;1;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
kongsfjorden;Ischyroceros;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Ischyroceridae;Ischyrocerus;0.01;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;84;0;4;2;1;0;0;272;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
kongsfjorden;Calanus glacialis;I;Animalia;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus;0.01;"predator";"invertebrate";2;"omnivorous";4;"pelagic";1;76;0;59;6;3;0;0;216;14;0;10;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2
kongsfjorden;Strongylocentrotus pallidus;I;Animalia;Echinodermata;Echinoidea;Echinoida;Strongylocentrotidae;Strongylocentrotus;0.4;"grazer";"invertebrate";2.2;"omnivorous";2;"benthic";286;112;0;13;73;0;0;0;586;2;14;27;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;25
kongsfjorden;Tanaidacea;I;Animalia;Arthropoda;Malacostraca;Tanaidacea;NA;NA;NULL;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;121;0;37;4;1;0;0;266;13;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2
kongsfjorden;Pandora glacialis;I;Animalia;Mollusca;Bivalvia;Pholadomyoida;Pandoridae;Pandora;0.18;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;34;0;7;4;0;0;0;226;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
kongsfjorden;Thyasira dunbari;I;Animalia;Mollusca;Bivalvia;Veneroida;Thyasiridae;Thyasira;0.01;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;27;0;6;2;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Nereimyra punctata;I;Animalia;Annelida;Polychaeta;Aciculata;Hesionidae;Nereimyra;0.05;"grazer";"invertebrate";2;"detrivorous";2;"benthic";1;301;0;32;17;1;0;0;267;53;0;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2
kongsfjorden;Ennucula tenuis;I;Animalia;Mollusca;Bivalvia;Nuculoida;Nuculidae;Ennucula;0.17;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";1;27;0;6;2;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
kongsfjorden;Retusa obtusata;I;Animalia;Mollusca;Gastropoda;Cephalaspidea;Cylichnidae;Acteocina;0.01;"predator";"invertebrate";2.63;"omnivorous";2;"benthic";18;30;4;1;8;0;0;0;315;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8
kongsfjorden;Elachisina globuloides;I;Animalia;Mollusca;Gastropoda;Neotaenioglossa;Elachisinidae;Elachisina;0.05;"predator";"invertebrate";2;"omnivorous";2;"benthic";0;55;0;5;1;0;0;0;167;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
kongsfjorden;Cylindrotheca closterium;B;Plantae;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;147;0;57;0;1;0;0;0;17;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
kongsfjorden;Unciola leucopis;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Aoridae;Unciola;NULL;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;94;0;6;4;1;0;0;274;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
kongsfjorden;Dinophysis acuta;B;Plantae;Pyrrophycophyta;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;3.44E-014;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"pelagic";0;140;0;52;0;1;0;0;0;12;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
kongsfjorden;Melita dentata;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Melita;0.01;"grazer";"invertebrate";2;"detrivorous";3;"benthic";1;89;0;4;2;1;0;0;272;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
